id,Season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,Unnamed: 12,winner
321,IPL-2012,Chandigarh,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,AD Mascarenhas,,Kings XI Punjab
333,IPL-2012,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,CH Gayle,,Royal Challengers Bangalore
340,IPL-2012,Chandigarh,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,0,4,AT Rayudu,,Mumbai Indians
354,IPL-2012,Chandigarh,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,normal,0,43,0,SR Watson,,Rajasthan Royals
366,IPL-2012,Chandigarh,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,normal,0,0,4,DJ Hussey,,Kings XI Punjab
400,IPL-2013,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,4,0,MS Gony,,Kings XI Punjab
409,IPL-2013,Chandigarh,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,DA Miller,,Kings XI Punjab
436,IPL-2013,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,8,KK Cooper,,Rajasthan Royals
440,IPL-2013,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,30,0,PA Patel,,Sunrisers Hyderabad
448,IPL-2013,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,DA Miller,,Kings XI Punjab
505,IPL-2014,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,0,7,LMP Simmons,,Mumbai Indians
509,IPL-2014,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,16,0,SE Marsh,,Kings XI Punjab
512,IPL-2014,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,M Vohra,,Kings XI Punjab
544,IPL-2015,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,20,0,TA Boult,,Sunrisers Hyderabad
552,IPL-2015,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,23,0,LMP Simmons,,Mumbai Indians
566,IPL-2015,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,22,0,AR Patel,,Kings XI Punjab
586,IPL-2016,Chandigarh,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,normal,0,0,6,M Vohra,,Kings XI Punjab
597,IPL-2016,Chandigarh,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,25,0,PA Patel,,Mumbai Indians
612,IPL-2016,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,9,0,MP Stoinis,,Kings XI Punjab
615,IPL-2016,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,1,0,SR Watson,,Royal Challengers Bangalore
622,IPL-2016,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,0,7,HM Amla,,Sunrisers Hyderabad
15,IPL-2017,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,51,0,CJ Anderson,,Delhi Daredevils
39,IPL-2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,6,Mohammed Shami,,Delhi Daredevils
41,IPL-2017,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,RR Pant,,Delhi Daredevils
44,IPL-2017,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,146,0,LMP Simmons,,Mumbai Indians
51,IPL-2017,Delhi,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,7,0,KK Nair,,Delhi Daredevils
55,IPL-2017,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,10,0,HV Patel,,Royal Challengers Bangalore
62,IPL-2008,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,0,9,MF Maharoof,,Delhi Daredevils
76,IPL-2008,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,10,0,GD McGrath,,Delhi Daredevils
100,IPL-2008,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,6,0,DPMD Jayawardene,,Kings XI Punjab
109,IPL-2008,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,KD Karthik,,Delhi Daredevils
183,IPL-2010,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,98,0,SR Tendulkar,,Mumbai Indians
200,IPL-2010,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,40,0,DA Warner,,Delhi Daredevils
203,IPL-2010,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,67,0,KD Karthik,,Delhi Daredevils
209,IPL-2010,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,37,0,PD Collingwood,,Delhi Daredevils
218,IPL-2010,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,0,7,PP Chawla,,Kings XI Punjab
238,IPL-2011,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,0,8,SL Malinga,,Mumbai Indians
259,IPL-2011,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,29,0,DA Warner,,Delhi Daredevils
263,IPL-2011,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,3,V Kohli,,Royal Challengers Bangalore
318,IPL-2012,Delhi,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,8,M Morkel,,Delhi Daredevils
323,IPL-2012,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,0,5,KP Pietersen,,Delhi Daredevils
342,IPL-2012,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,37,0,V Sehwag,,Delhi Daredevils
345,IPL-2012,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,1,0,V Sehwag,,Delhi Daredevils
369,IPL-2012,Delhi,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,0,0,5,UT Yadav,,Delhi Daredevils
372,IPL-2012,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,21,0,CH Gayle,,Royal Challengers Bangalore
385,IPL-2013,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,5,0,R Dravid,,Rajasthan Royals
394,IPL-2013,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,0,3,A Mishra,,Sunrisers Hyderabad
408,IPL-2013,Delhi,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,0,9,V Sehwag,,Delhi Daredevils
438,IPL-2013,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,4,0,JD Unadkat,,Royal Challengers Bangalore
443,IPL-2013,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,5,Harmeet Singh,,Kings XI Punjab
455,IPL-2013,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,0,4,BJ Hodge,,Rajasthan Royals
480,IPL-2014,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,7,KK Nair,,Rajasthan Royals
489,IPL-2014,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,0,8,DW Steyn,,Sunrisers Hyderabad
502,IPL-2014,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,4,AR Patel,,Kings XI Punjab
523,IPL-2015,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,3,DJ Hooda,,Rajasthan Royals
539,IPL-2015,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,37,0,SS Iyer,,Delhi Daredevils
543,IPL-2015,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,10,VR Aaron,,Royal Challengers Bangalore
548,IPL-2015,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,9,NM Coulter-Nile,,Delhi Daredevils
583,IPL-2016,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,8,A Mishra,,Delhi Daredevils
593,IPL-2016,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,10,0,SV Samson,,Delhi Daredevils
602,IPL-2016,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,27,0,CR Brathwaite,,Delhi Daredevils
634,IPL-2016,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,22,0,MC Henriques,,Sunrisers Hyderabad
635,IPL-2016,Delhi,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,0,4,DA Warner,,Sunrisers Hyderabad
7915,IPL-2018,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,4,0,AS Rajpoot,,Kings XI Punjab
7919,IPL-2018,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,55,0,SS Iyer,,Delhi Daredevils
7925,IPL-2018,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,1,4,0,RR Pant,,Delhi Daredevils
7935,IPL-2018,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,0,9,S Dhawan,,Sunrisers Hyderabad
7938,IPL-2018,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,AB de Villiers,,Royal Challengers Bangalore
7945,IPL-2018,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,34,0,HV Patel,,Delhi Daredevils
7948,IPL-2018,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,11,0,A Mishra,,Delhi Daredevils
11152,IPL-2019,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,0,5,J Bairstow,,Sunrisers Hyderabad
11325,IPL-2019,Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,40,0,HH Pandya,,Mumbai Indians
7,IPL-2017,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,4,N Rana,,Mumbai Indians
10,IPL-2017,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,0,4,JJ Bumrah,,Mumbai Indians
16,IPL-2017,Mumbai,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,N Rana,,Mumbai Indians
24,IPL-2017,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,14,0,MJ McClenaghan,,Mumbai Indians
37,IPL-2017,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,0,5,RG Sharma,,Mumbai Indians
50,IPL-2017,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,7,0,WP Saha,,Kings XI Punjab
63,IPL-2008,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,0,5,MV Boucher,,Royal Challengers Bangalore
82,IPL-2008,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,29,0,SM Pollock,,Mumbai Indians
86,IPL-2008,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,0,7,A Nehra,,Mumbai Indians
96,IPL-2008,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,ST Jayasuriya,,Mumbai Indians
99,IPL-2008,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,8,SM Pollock,,Mumbai Indians
106,IPL-2008,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,1,0,SE Marsh,,Kings XI Punjab
115,IPL-2008,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,105,0,SR Watson,,Rajasthan Royals
117,IPL-2008,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,3,YK Pathan,,Rajasthan Royals
176,IPL-2010,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,4,0,YK Pathan,,Mumbai Indians
188,IPL-2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,0,7,JH Kallis,,Royal Challengers Bangalore
191,IPL-2010,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,0,7,SR Tendulkar,,Mumbai Indians
194,IPL-2010,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,SR Tendulkar,,Mumbai Indians
199,IPL-2010,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,41,0,Harbhajan Singh,,Mumbai Indians
201,IPL-2010,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,0,4,SL Malinga,,Mumbai Indians
207,IPL-2010,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,0,63,0,AT Rayudu,,Mumbai Indians
221,IPL-2010,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,39,0,KA Pollard,,Mumbai Indians
231,IPL-2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,35,0,KA Pollard,,Mumbai Indians
233,IPL-2010,Mumbai,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,0,9,A Kumble,,Royal Challengers Bangalore
250,IPL-2011,Mumbai,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,3,Yuvraj Singh,,Delhi Daredevils
254,IPL-2011,Mumbai,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,0,7,MM Patel,,Mumbai Indians
257,IPL-2011,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,8,0,Harbhajan Singh,,Mumbai Indians
273,IPL-2011,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,23,0,KA Pollard,,Mumbai Indians
